Features,Shap
Myeloid dendritic cells,0.05889011594872933
Biopsy site,0.0562391327048004
Cytotoxic lymphocytes,0.05153909457737093
B lineage,0.033285029190237285
M1a_Suvmax_max (SUVbw),0.031246984627519958
